ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
AAPG,Ascentage Pharma Group International - American Depository Shares,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,2026-04-29,20-F,,,,,,,,,,,,,373322192.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,20-F:1;3:13;3/A:9;4:3;6-K:46;S-8:1;S-8 POS:1,2026-06-26T07:17:43+00:00
AARD,"Aardvark Therapeutics, .",0001774857,"Aardvark Therapeutics, Inc.",2026-05-07,10-Q,62.44,28.76,,91.2,,-18.87,-21.59,16.57,5.9,18.87,6.29,14.5,21816385.0,4.18,True,True,2026-04-03,EFFECT,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;4:11;424B5:1;8-K:17;CORRESP:1;EFFECT:1;S-3:1;S-8:2;UPLOAD:1,2026-06-26T07:17:43+00:00
ABEO,Abeona Therapeutics .,0000318306,ABEONA THERAPEUTICS INC.,2026-05-13,10-Q,61.37,185.52,,246.9,18.09,-19.8,-17.07,9.55,19.5,19.8,6.6,37.4,56995144.0,4.33,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:37;3:2;4:51;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;SCHEDULE 13G:7;SCHEDULE 13G/A:7,2026-06-26T07:17:44+00:00
ABOS,"Acumen Pharmaceuticals, .",0001576885,"Acumen Pharmaceuticals, Inc.",2026-05-12,10-Q,51.8,76.6,0.0,128.4,14.12,-24.13,-20.74,16.48,4.67,24.13,8.04,16.0,72227580.0,1.78,True,True,2026-04-01,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:44;3:1;4:38;424B3:1;424B5:1;8-K:10;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:17:45+00:00
ABUS,Arbutus Biopharma,0001447028,Arbutus Biopharma Corp,2026-05-13,10-Q,23.71,73.46,,97.17,,-8.11,169.69,4.12,5.89,8.11,2.7,35.9,197537710.0,0.49,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:5;8-K:13;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:3,2026-06-26T07:17:45+00:00
ABVC,"ABVC BioPharma, .",0001173313,"ABVC BIOPHARMA, INC.",2026-05-18,10-Q,0.14,0.06,,0.2,0.1,-0.89,-1.56,0.03,0.33,0.89,0.3,0.7,26000442.0,0.01,True,True,2026-03-27,POS AM,1,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;10-Q/A:1;424B4:9;8-K:5;8-K/A:3;DEF 14A:1;NT 10-Q:1;POS AM:1;PRE 14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G/A:1,2026-06-26T07:17:46+00:00
ABVX,Abivax,0001956827,Abivax S.A.,2026-03-23,20-F,,,,,,,,,,,,,78536412.0,,False,True,2025-07-24,424B5,4,MEDIUM,LOW,cash_missing | burn_missing,144:2;20-F:1;424B5:2;424B7:1;6-K:11;F-3ASR:1;FWP:2;S-8:1;SCHEDULE 13D/A:4;SCHEDULE 13G/A:4,2026-06-26T07:17:46+00:00
ACAD,ACADIA Pharmaceuticals .,0001070494,ACADIA PHARMACEUTICALS INC,2026-05-07,10-Q,282.21,83.03,,365.24,0.02,33.98,3.64,76.87,27.49,104.36,34.79,10.5,171235870.0,2.13,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;3:1;4:31;8-K:9;ARS:1;DEF 14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:2,2026-06-26T07:17:47+00:00
ACIU,AC Immune,0001651625,AC Immune SA,2026-03-13,20-F,,,,,,,,,,,,,101742231.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,144:6;20-F:1;3:8;4:7;4/A:1;6-K:14,2026-06-26T07:17:47+00:00
ACRS,"Aclaris Therapeutics, .",0001557746,"Aclaris Therapeutics, Inc.",2026-05-07,10-Q,28.66,,,28.66,,-18.15,-19.82,15.66,6.74,18.15,6.05,4.7,139663680.0,0.21,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:26;4/A:2;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:4;SCHEDULE 13G/A:8,2026-06-26T07:17:48+00:00
ACRV,"Acrivon Therapeutics, .",0001781174,"Acrivon Therapeutics, Inc.",2026-05-13,10-Q,34.06,63.67,,97.74,,-20.54,-19.04,15.17,4.74,20.54,6.85,14.3,42801729.0,2.28,False,False,,,0,UNKNOWN,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:63;8-K:10;ARS:1;DEF 14A:1;DEFA14A:2;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:3,2026-06-26T07:17:49+00:00
ACTU,"Actuate Therapeutics, .",0001652935,"ACTUATE THERAPEUTICS, INC.",2026-05-14,10-Q,8.13,,,8.13,0.0,-5.02,-5.63,2.57,3.14,5.02,1.67,4.9,23925852.0,0.34,False,True,2025-11-28,424B5,8,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:1;3:1;4:15;424B3:1;424B5:3;8-K:8;ARS:1;CORRESP:3;D:1;DEF 14A:1;DEFA14A:2;DRS:1;EFFECT:2;S-1:1;S-3:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:1;UPLOAD:2,2026-06-26T07:17:49+00:00
ACXP,"Acurx Pharmaceuticals, .",0001736243,"Acurx Pharmaceuticals, Inc.",2026-05-11,10-Q,9.25,,,9.25,,-1.41,-1.68,0.34,1.37,1.41,0.47,19.7,4297738.0,2.15,True,True,2026-05-12,424B3,16,MEDIUM,GOOD,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:8;424B3:4;424B5:1;8-K:6;CORRESP:5;D:2;DEF 14A:1;DEFA14A:1;EFFECT:5;PRE 14A:1;S-1:5;S-3:1;S-3/A:1;S-8:1;SCHEDULE 13G:1;SCHEDULE 13G/A:1;UPLOAD:5,2026-06-26T07:17:49+00:00
ADAG,Adagene .,0001818838,Adagene Inc.,2026-04-01,20-F,74.52,0.0,,74.52,1.85,,,,,,,,59231993.0,1.26,True,True,2026-04-02,424B5,5,HIGH,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_missing",20-F:1;3:10;424B3:1;424B5:2;6-K:9;EFFECT:1;F-3:1;SCHEDULE 13D/A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:6,2026-06-26T07:17:49+00:00
ADCT,ADC Therapeutics,0001771910,ADC Therapeutics SA,2026-05-04,10-Q,231.01,,,231.01,4.63,-29.71,-32.97,19.88,9.9,29.71,9.9,23.3,127191158.0,1.82,True,True,2026-04-15,424B3,10,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:19;424B3:4;8-K:13;ARS:1;CORRESP:3;DEF 14A:1;DEFA14A:1;EFFECT:3;PRE 14A:1;S-3:3;S-3/A:1;S-8:2;SCHEDULE 13G:1;SCHEDULE 13G/A:9;UPLOAD:2,2026-06-26T07:17:50+00:00
ADIL,Adial Pharmaceuticals,0001513525,"ADIAL PHARMACEUTICALS, INC.",2026-05-08,10-Q,4.58,,,4.58,,-1.61,-2.02,0.43,1.57,1.61,0.54,8.5,2143621.0,2.14,False,True,2025-12-19,424B5,5,HIGH,GOOD,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:2;4:8;424B5:3;8-K:17;CORRESP:1;D:1;DEF 14A:1;DEFR14A:1;EFFECT:1;PRE 14A:1;S-3:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:1,2026-06-26T07:17:50+00:00
ADPT,Adaptive Biotechnologies,0001478320,Adaptive Biotechnologies Corp,2026-05-05,10-Q,77.58,,,77.58,130.55,-9.54,-20.03,23.62,20.98,9.54,3.18,24.4,160044392.0,0.48,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:50;144/A:1;4:63;4/A:1;8-K:10;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G/A:4,2026-06-26T07:17:51+00:00
ADXN,Addex Therapeutics,0001574232,Addex Therapeutics Ltd.,2026-05-15,20-F,,,,,,,,,,,,,147831814.0,,False,True,2025-12-10,424B5,3,MEDIUM,LOW,cash_missing | burn_missing,20-F:1;3:8;424B5:1;6-K:14;CORRESP:1;EFFECT:1;F-3:1;NT 20-F:1,2026-06-26T07:17:51+00:00
AEON,"AEON Biopharma, .",0001837607,"AEON Biopharma, Inc.",2026-05-14,10-Q,6.24,,,6.24,,-2.64,-11.79,2.03,,2.64,0.88,7.1,26307211.0,0.24,True,True,2026-02-18,424B3,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:2;4:10;424B3:1;8-K:14;ARS:1;CORRESP:1;DEF 14A:2;DEFA14A:3;EFFECT:1;PRE 14A:1;S-3:1;S-8:1;SCHEDULE 13D:1;SCHEDULE 13D/A:1;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:17:52+00:00
AGIO,"Agios Pharmaceuticals, .",0001439222,"AGIOS PHARMACEUTICALS, INC.",2026-04-29,10-Q,113.6,370.19,88.58,572.37,,-118.92,-99.11,81.15,29.12,118.92,39.64,14.4,59471609.0,9.62,False,False,,,0,UNKNOWN,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:29;3:1;4:59;8-K:8;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13G:6;SCHEDULE 13G/A:6,2026-06-26T07:17:52+00:00
AGMB,AgomAb Therapeutics,0002020932,Agomab Therapeutics NV,2026-04-23,20-F,,,,,,,,,,,,,34167168.0,,True,True,2026-01-30,EFFECT,2,HIGH,LOW,cash_missing | burn_missing,20-F:1;3:11;424B4:1;6-K:5;8-A12B:1;CERT:1;DRS/A:2;EFFECT:1;F-1:1;F-1/A:1;S-8:1;SCHEDULE 13D:1;SCHEDULE 13G:5,2026-06-26T07:17:52+00:00
AIFF,"Firefly Neuroscience, .",0000803578,"FIREFLY NEUROSCIENCE, INC.",2026-05-13,10-Q,3.13,,,3.13,0.45,-1.95,-2.0,0.42,1.67,1.95,0.65,4.8,15571780.0,0.2,True,True,2026-05-20,S-3,7,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:9;3/A:1;4:8;424B3:1;424B5:1;8-K:8;CORRESP:1;D:1;DEF 14A:1;DEFR14A:1;DRS:3;EFFECT:2;PRE 14A:1;S-1:1;S-3:2;S-3/A:1;S-8:2;SCHEDULE 13D/A:6;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:17:53+00:00
AIG,"American International Group, . New",0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",2026-05-01,10-Q,1528.0,19773.0,,21301.0,250.0,155.0,763.0,,,,,,530206221.0,40.17,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing,10-K:1;10-Q:3;13F-HR:4;144:1;3:3;4:103;8-K:14;ARS:1;DEF 14A:1;DEFA14A:1;N-PX:1;SCHEDULE 13G:4;SCHEDULE 13G/A:8,2026-06-26T07:17:54+00:00
AIN,Albany International,0000819793,ALBANY INTERNATIONAL CORP /DE/,2026-04-30,10-Q,122.56,,,122.56,476.54,5.64,15.28,,,,,,28400000.0,4.32,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;144:1;3:1;4:22;4/A:1;8-K:8;DEF 14A:1;S-8:1;SCHEDULE 13G:4;SCHEDULE 13G/A:3;SD:1,2026-06-26T07:17:55+00:00
AKBA,"Akebia Therapeutics, .",0001517022,"Akebia Therapeutics, Inc.",2026-05-07,10-Q,162.64,256.57,,419.21,48.89,-21.21,-9.05,14.81,10.38,21.21,7.07,59.3,268258243.0,1.56,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:6;3:2;4:21;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:2,2026-06-26T07:17:56+00:00
AKTS,"Aktis Oncology, .",0002035832,"Aktis Oncology, Inc.",2026-05-11,10-Q,371.63,,,371.63,,-24.24,-18.32,20.04,5.9,24.24,8.08,46.0,,,True,True,2026-01-08,EFFECT,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:1;3:17;4:8;424B4:1;8-A12B:1;8-K:4;CERT:1;DRS/A:1;EFFECT:1;S-1:1;S-1/A:2;S-8:1;SCHEDULE 13D:4;SCHEDULE 13G:1,2026-06-26T07:17:56+00:00
AKTX,Akari Therapeutics,0001541157,Akari Therapeutics Plc,2026-05-19,10-Q,2.77,0.0,,2.77,0.2,-2.49,-14.46,1.46,0.06,2.49,0.83,3.3,91567009533.0,0.0,True,True,2026-05-08,S-1,13,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:13;424B3:1;424B5:2;8-K:16;CORRESP:3;D:2;DEF 14A:3;DRS:1;EFFECT:4;F-6/A:1;NT 10-Q:1;POS AM:1;PRE 14A:3;RW:1;S-1:4;S-3:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:1;UPLOAD:2,2026-06-26T07:17:58+00:00
ALDX,"Aldeyra Therapeutics, .",0001341235,"Aldeyra Therapeutics, Inc.",2026-05-07,10-Q,65.0,62.2,,127.2,15.3,-5.11,-3.45,2.41,1.14,5.11,1.7,74.7,60321068.0,2.11,False,False,,,0,LOW,GOOD,"cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | st_invest_tags=MarketableSecuritiesCurrent,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:1;3:1;4:13;8-K:12;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G/A:5,2026-06-26T07:17:59+00:00
ALGS,"Aligos Therapeutics, .",0001799448,"Aligos Therapeutics, Inc.",2026-05-07,10-Q,29.98,24.93,,54.91,,-23.13,-23.04,23.35,6.41,23.13,7.71,7.1,42608792.0,1.29,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:1;4:13;8-K:8;ARS:1;DEF 14A:1;DEFA14A:1;S-8:2;SCHEDULE 13D:1;SCHEDULE 13G:2;SCHEDULE 13G/A:6,2026-06-26T07:18:00+00:00
ALLO,"Allogene Therapeutics, .",0001737287,"Allogene Therapeutics, Inc.",2026-05-13,10-Q,30.31,283.99,,314.3,,-12.91,-42.61,32.0,14.09,12.91,4.3,73.0,345154561.0,0.91,True,True,2026-06-22,424B5,3,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:14;4:23;424B5:3;8-K:11;ARS:1;DEF 14A:1;DEFA14A:3;PRE 14A:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:3;SCHEDULE 13G/A:10,2026-06-26T07:18:01+00:00
ALLR,"Allarity Therapeutics, .",0001860657,"Allarity Therapeutics, Inc.",2026-05-15,10-Q,19.81,,,19.81,21.43,-4.49,-2.75,1.3,1.42,4.49,1.5,13.2,15910724.0,1.25,True,True,2026-04-27,424B3,9,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:2;4:6;4/A:1;424B3:2;424B5:1;8-K:22;ARS:1;CORRESP:3;DEF 14A:1;DEFA14A:1;EFFECT:3;NT 10-Q:1;PRE 14A:1;S-3:3;S-3/A:1;UPLOAD:2,2026-06-26T07:18:02+00:00
ALMR,"Alamar Biosciences, .",0002104204,"Alamar Biosciences, Inc.",2026-05-08,10-Q,64.59,0.0,,64.59,,-20.35,-21.32,13.02,,20.35,6.78,9.5,69311186.0,0.93,True,True,2026-04-20,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-Q:1;3:10;4:9;424B4:1;8-A12B:1;8-K:2;CERT:1;DRS:1;DRS/A:2;EFFECT:2;POS AM:1;S-1:1;S-1/A:2;S-1MEF:1;S-8:1;SCHEDULE 13D:2,2026-06-26T07:18:03+00:00
ALNY,"Alnylam Pharmaceuticals, .",0001178670,"ALNYLAM PHARMACEUTICALS, INC.",2026-04-30,10-Q,1657.25,,164.82,1822.07,,-118.31,251.08,358.81,84.68,118.31,39.44,46.2,132623144.0,13.74,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:17;3:4;4:59;8-K:12;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1;SCHEDULE 13G:1;SCHEDULE 13G/A:5,2026-06-26T07:18:05+00:00
ALT,"Altimmune, .",0001326190,"Altimmune, Inc.",2026-05-13,10-Q,97.6,233.94,,331.54,35.6,-20.94,-22.56,16.19,8.05,20.94,6.98,47.5,194474154.0,1.7,True,True,2026-04-24,424B5,6,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:2;4:47;424B5:4;8-K:15;ARS:2;CORRESP:2;DEF 14A:2;EFFECT:1;PRE 14A:1;S-3:1;S-3/A:1;S-3MEF:1;S-8:2;SCHEDULE 13G:5;SCHEDULE 13G/A:4;UPLOAD:2,2026-06-26T07:18:06+00:00
ALXO,ALX Oncology .,0001810182,ALX ONCOLOGY HOLDINGS INC,2026-05-08,10-Q,32.28,108.04,,140.32,8.51,-18.65,-17.93,13.61,5.36,18.65,6.22,22.6,134562917.0,1.04,True,True,2026-01-30,424B5,1,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:3;4:29;424B5:1;8-K:10;ARS:1;DEF 14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:3;SCHEDULE 13G/A:7,2026-06-26T07:18:07+00:00
ALZN,"Alzamend Neuro, .",0001677077,"Alzamend Neuro, Inc.",2026-03-11,10-Q,2.71,,,2.71,0.34,-2.36,-2.2,1.28,0.92,2.36,0.79,3.4,3804741.0,0.71,True,True,2026-03-06,424B5,1,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144/A:1;4:14;424B5:1;8-K:10;DEF 14A:1;DEFA14A:1;PRE 14A:1;SCHEDULE 13D/A:6,2026-06-26T07:18:09+00:00
AMBR,Amber International,0001697818,Amber International Holding Ltd,2026-05-13,20-F,19.64,6.57,,26.21,,,,,,,,,471376257.0,0.06,False,True,2025-07-07,F-3,1,MEDIUM,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_missing,144:1;20-F:1;3:9;4:2;6-K:18;F-3:1;F-6EF:1;NT 20-F:1;RW:1;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:3,2026-06-26T07:18:09+00:00
AMLX,"Amylyx Pharmaceuticals, .",0001658551,"Amylyx Pharmaceuticals, Inc.",2026-05-07,10-Q,229.14,285.44,,514.58,,-36.88,-41.28,27.61,29.99,36.88,12.29,41.9,111186317.0,4.63,False,True,2025-09-10,424B5,2,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:19;4:35;424B5:2;8-K:9;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-8:1;SCHEDULE 13G:5;SCHEDULE 13G/A:11,2026-06-26T07:18:10+00:00
AMPH,"Amphastar Pharmaceuticals, .",0001297184,"Amphastar Pharmaceuticals, Inc.",2026-05-07,10-Q,170.94,121.01,,291.95,619.71,47.84,6.42,26.74,18.03,44.77,14.92,19.6,44092919.0,6.62,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:10;3:1;4:32;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G/A:2,2026-06-26T07:18:12+00:00
AMRX,"Amneal Pharmaceuticals, .",0001723128,"Amneal Pharmaceuticals, Inc.",2026-05-07,10-Q,197.66,,,197.66,2571.76,-26.74,62.26,38.38,,26.74,8.91,22.2,319022792.0,0.62,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:15;4:31;4/A:2;8-K:13;8-K/A:1;DEF 14A:1;DEFA14A:8;PREM14A:1;SCHEDULE 13D/A:4;SCHEDULE 13G:1;SCHEDULE 13G/A:1,2026-06-26T07:18:13+00:00
ANIK,Anika Therapeutics .,0000898437,"Anika Therapeutics, Inc.",2026-04-30,10-Q,41.02,25.77,,66.79,26.6,-4.85,-5.06,6.71,,4.85,1.62,41.3,13305624.0,5.02,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:17;8-K:7;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:3;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:3;UPLOAD:1,2026-06-26T07:18:15+00:00
ANIP,"ANI Pharmaceuticals, .",0001023024,ANI PHARMACEUTICALS INC,2026-05-08,10-Q,311.18,,,311.18,305.29,58.38,29.49,10.6,1.95,12.55,4.18,74.4,24422240.0,12.74,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:25;4:82;8-K:16;ARS:1;DEF 14A:1;DEFA14A:1;S-8:2;SCHEDULE 13D/A:1;SCHEDULE 13G/A:3,2026-06-26T07:18:17+00:00
ANIX,"Anixa Biosciences, .",0000715446,Anixa Biosciences Inc,2026-06-10,10-Q,1.48,12.21,4.15,17.84,,-2.61,-2.52,1.26,1.39,2.61,0.87,20.5,34023063.0,0.52,False,True,2025-09-30,EFFECT,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:15;8-K:3;CORRESP:1;DEF 14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:1;UPLOAD:1,2026-06-26T07:18:18+00:00
