ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
DTIL,"Precision BioSciences, .",0001357874,PRECISION BIOSCIENCES INC,2026-05-05,10-Q,99.37,1.81,,101.18,,-11.94,-18.44,13.11,6.8,11.94,3.98,25.4,25802247.0,3.92,True,True,2026-01-07,EFFECT,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:12;4:33;424B5:1;8-K:14;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;FWP:1;PRE 14A:1;S-3:1;S-8:1;SCHEDULE 13G:4;SCHEDULE 13G/A:8;UPLOAD:1,2026-06-26T07:21:03+00:00
DWTX,"Dogwood Therapeutics, .",0001818844,"Dogwood Therapeutics, Inc.",2026-05-15,10-Q,13.23,,,13.23,,-4.59,-4.99,2.67,2.41,4.59,1.53,8.7,33629553.0,0.39,True,True,2026-01-29,EFFECT,5,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:21;424B5:2;8-K:14;ARS:1;CORRESP:1;DEF 14A:3;DEFA14A:2;EFFECT:1;PRE 14A:3;S-3:2;S-3/A:1;S-8:2;SCHEDULE 13D/A:1;SCHEDULE 13G:1;UPLOAD:1,2026-06-26T07:21:04+00:00
DYAI,"Dyadic International, .",0001213809,DYADIC INTERNATIONAL INC,2026-05-13,10-Q,4.25,1.36,,5.61,,-1.96,-1.95,0.48,1.76,1.96,0.65,8.6,36438703.0,0.15,True,True,2026-03-06,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;144:1;4:10;424B5:3;8-K:19;DEF 14A:1;DEFA14A:1;PRE 14A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:4,2026-06-26T07:21:05+00:00
DYN,"Dyne Therapeutics, .",0001818794,"Dyne Therapeutics, Inc.",2026-05-11,10-Q,753.1,,,753.1,9.94,-144.92,-120.85,100.89,24.39,144.92,48.31,15.6,142824687.0,5.27,False,True,2025-12-10,424B5,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:62;3:3;4:53;424B5:4;8-K:17;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;S-8:2;SCHEDULE 13G:2;SCHEDULE 13G/A:9,2026-06-26T07:21:06+00:00
EAF,GrafTech International .,0000931148,GRAFTECH INTERNATIONAL LTD,2026-05-01,10-Q,120.24,,,120.24,1096.65,-14.93,-43.28,1.44,,14.93,4.98,24.2,26047835.0,4.62,True,True,2026-05-29,424B5,3,MEDIUM,GOOD,"cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:2;3:1;4:36;424B5:1;8-K:10;8-K/A:1;ARS:1;D:1;DEF 14A:2;DEFA14A:2;DRS:1;EFFECT:1;PRE 14A:1;S-3:1;SCHEDULE 13G:1;SCHEDULE 13G/A:4,2026-06-26T07:21:08+00:00
EAT,"Brinker International, .",0000703351,"BRINKER INTERNATIONAL, INC",2026-04-29,10-Q,57.1,,,57.1,530.09,120.8,127.9,,58.4,58.4,19.47,2.9,42887790.0,1.33,False,False,,,0,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;11-K:1;144:24;4:89;4/A:1;8-K:7;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:3,2026-06-26T07:21:10+00:00
EBON,Ebang International .,0001799290,Ebang International Holdings Inc.,2026-04-24,20-F,200.19,6.28,,206.47,1.09,,,,,,,,,,True,True,2026-06-10,EFFECT,2,HIGH,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | debt_tags=ConvertibleNotesPayable | burn_missing",20-F:1;3:5;6-K:3;EFFECT:1;F-3:1;F-3/A:2;SCHEDULE 13G/A:1,2026-06-26T07:21:11+00:00
EDIT,"Editas Medicine, .",0001650664,"Editas Medicine, Inc.",2026-05-05,10-Q,123.65,0.0,0.0,123.65,54.68,-23.06,-24.98,17.6,10.23,23.06,7.69,16.1,97906282.0,1.26,True,True,2026-05-26,424B5,2,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:6;4:22;424B5:2;8-K:13;ARS:1;DEF 14A:1;DEFA14A:1;S-3MEF:1;SCHEDULE 13G:3;SCHEDULE 13G/A:1,2026-06-26T07:21:12+00:00
EDSA,"Edesa Biotech, .",0001540159,"Edesa Biotech, Inc.",2026-05-14,10-Q,10.0,0.5,,10.5,,-2.09,-4.22,2.77,1.53,2.09,0.7,15.1,8891951.0,1.18,False,True,2025-12-12,424B5,4,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:29;424B5:2;8-K:13;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13D/A:3;SCHEDULE 13G:5;SCHEDULE 13G/A:4;UPLOAD:1,2026-06-26T07:21:14+00:00
EEIQ,EpicQuest Education Group International,0001781397,EpicQuest Education Group International Ltd,2026-01-28,20-F,4.75,,,4.75,,,,,,,,,23396667.0,0.2,True,True,2026-06-12,EFFECT,8,HIGH,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_missing,20-F:1;3:5;4:2;424B3:2;424B5:1;6-K:11;CORRESP:1;D:1;EFFECT:2;F-3:3;F-3/A:1;SCHEDULE 13G:2;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:21:15+00:00
